job_title,company,location,source,url,description,date_extracted
Senior Data Scientist - Blitz,Voodoo,"Paris, Ile-de-France",adzuna,https://www.adzuna.fr/land/ad/5561781651?se=zJ3zZ7Ir8RGSEt9GG6t21Q&utm_medium=api&utm_source=d7095dc1&v=7F8391245AD37CF37BAF671CC19EBA9EB00850E0,"Get AI-powered advice on this job and more exclusive features. Blitz is a gaming platform launched by Voodoo in 2021, allowing players to compete on mobile games for real cash prizes (head-up, tournaments, leagues, etc.). It is leveraging Voodoo’s unique game portfolio to engage users in a fun and rewarding way. We are looking for a talented Data Scientist, deeply passionate about algorithms, data science, data-driven decisions and transforming raw data into clear actionable business insights, …",2026-03-29 22:01:04
Lead Data Scientist H/F (CDI),KAINO CONSULTING,"1er Arrondissement, Paris",adzuna,https://www.adzuna.fr/land/ad/5493283893?se=zJ3zZ7Ir8RGSEt9GG6t21Q&utm_medium=api&utm_source=d7095dc1&v=1726E1C245C1489C90F55323D9B18A16B88CA063,"Lead Data Scientist Secteur : Distribution Multimarques CDI - Client Final Kaino, cabinet de recrutement spécialisé en Data, recherche un Lead Data Scientist en CDI pour un groupe français leader, spécialiste du retail , dans le cadre de la structuration et de la montée en puissance de son pôle Data Science. Fort d'une organisation très avancée dans la digitalisation de ses métiers et de son SI, ce groupe mise aujourd'hui sur l'intelligence artificielle pour optimiser ses performances sur l'ens…",2026-03-29 22:01:04
Data Scientist F/H - Stage,Sony Music Entertainment France,"Paris, Ile-de-France",adzuna,https://www.adzuna.fr/land/ad/5561781749?se=zJ3zZ7Ir8RGSEt9GG6t21Q&utm_medium=api&utm_source=d7095dc1&v=56B6CDB997025D2DA537A78FA5F944B1A38622D4,"Join to apply for the Data Scientist (H/F) STAGE role at Sony Music Entertainment France . Sony Music Entertainment France, one of the leaders in music production, promotion, and distribution in France, is seeking a Data Scientist Intern for its Data department. Within the Sony Music Digital team, you will participate in various projects on the roadmap and collaborate with different stakeholders (marketing, sales, labels, IT). Responsibilities: Understand business needs, identify use cases, and…",2026-03-29 22:01:04
Data Scientist,Avanda Solutions,"Villeneuve-d'Ascq, Lille",adzuna,https://www.adzuna.fr/details/5670915539?utm_medium=api&utm_source=d7095dc1,"Nous recherchons un(e) Data Scientist confirmé(e) pour rejoindre notre équipe de consultants Data & IA, en mission chez l'un de nos clients, acteur majeur dans sa region, au cœur de leurs initiatives d'intelligence artificielle appliquées aux stratégies de push marketing et de fishing marketing. Vos missions : Veille technologique et innovation autour des solutions IA/ML (Deep Learning, LLM, IA générative) Conception et développement de PoC et MVP pour valider des approches innovantes Analyse d…",2026-03-29 22:01:04
Data Scientist,Albatross,France,adzuna,https://www.adzuna.fr/details/5669432758?utm_medium=api&utm_source=d7095dc1,"Location Remote in Europe. Albatross At Albatross, we’re building the second pillar of AI: a perception layer that understands how users actually experience content, in real time. Trained on live user interactions, Albatross learns and reasons on the fly. Our technology powers real-time, in-session discovery by adapting to evolving user interests, in real-time. We have raised significant funding and our platform already operates at scale, with billions of events being processed and hundreds of …",2026-03-29 22:01:04
Data Scientist,PIXIE,"Lille, Nord",adzuna,https://www.adzuna.fr/details/5674060236?utm_medium=api&utm_source=d7095dc1," Pixie Services à la recherche d'un Data Scientist expérimenté !  Intégrez notre équipe à Lille et jouez un rôle clé dans la construction de solution IA. À propos de Pixie : Pixie Services, un leader dans le secteur des solutions numériques, est reconnu pour son engagement envers l'innovation et la technologie de pointe. Basés au cœur de la métropole lilloise , nous sommes déterminés à relever les défis technologiques grâce à une équipe passionnée et compétente.  Ce que nous offrons : Une oppor…",2026-03-29 22:01:04
Data Scientist,Ministere Interieur,France,adzuna,https://www.adzuna.fr/details/5595809132?utm_medium=api&utm_source=d7095dc1,Informations générales Référence BS092ACA-113980 Date limite de candidature 31/12/2026 Versant Fonction publique d'Etat Catégorie Catégorie A (cadre) Nature de l'emploi Emploi ouvert aux fonctionnaires et/ou contractuels Domaine et métier Numérique - Data Scientist Type de poste Technique et spécialisé Statut du poste Vacant Intitulé du poste Data Scientist Description du poste Groupe RIFSEEP : 3 Vos activités principales : Sous l’autorité du directeur de programme ou du chef de projet en charg…,2026-03-29 22:01:04
Data Scientist,Capgemini,"1er Arrondissement, Paris",adzuna,https://www.adzuna.fr/details/5681669800?utm_medium=api&utm_source=d7095dc1,"Appliquer des modèles probabilistes de type modèles génératifs ou modèles d’apprentissage à l’échelle et dans le domaine de la R&D et du manufacturing demeure un enjeu, notamment à cause du manque de fondations solides sur la gestion de la donnée. Nous adressons ce défi, en partie, à l’aide de graph de connaissance que nous concevons, développons, déployons et maintenons. Vous souhaitez mettre en application vos compétences au sein de projets d’envergure pour le compte de grands groupes industr…",2026-03-29 22:01:04
Data scientist,MEOGROUP,"Nord, Hauts-De-France",adzuna,https://www.adzuna.fr/details/5676816965?utm_medium=api&utm_source=d7095dc1,"Dans le cadre du renforcement d'une équipe Data en pleine structuration, nous recherchons un(e) Data Scientist expérimenté(e) pour intervenir sur des projets à forte valeur ajoutée autour de la donnée et de l'IA. Vous évoluerez dans un environnement technique moderne, en collaboration étroite avec les équipes Data Engineering, IT et métiers. Ton rôle : concevoir, industrialiser et fiabiliser des solutions IA en production, tout en instaurant des standards d'ingénierie logicielle (tests, CI/CD, …",2026-03-29 22:01:04
Data Scientist,KLANIK,"1er-Arrondissement, Lyon",adzuna,https://www.adzuna.fr/details/5664889772?utm_medium=api&utm_source=d7095dc1,"Contexte : Rejoignez une équipe engagée dans l'amélioration continue des chaînes communicantes et la valorisation des données pour optimiser leur exploitation. Vous interviendrez sur des sujets à fort impact, mêlant performance, supervision et innovation. Vos missions principales : - Analyser le fonctionnement des chaînes communicantes - Modéliser leur comportement nominal - Développer des outils de supervision en temps réel et de détection automatique d'anomalies - Encadrer des Data Scientists…",2026-03-29 22:01:04
Alternant.e HRBP Junior F/H/X,N/A,France,jooble,https://jooble.org/jdp/4805912410985856582," Hydro Building Systems  est une division du groupe international Norsk Hydro. Avec plus de 1000 collaborateurs en France, nous concevons des solutions aluminium performantes, légères et éco-responsables qui nous permettent d’appartenir à un avenir plus intelligent et plus...",2026-03-29 22:01:04
Technical Manager,Greystar,France,jooble,https://jooble.org/jdp/-2330022652496716285," ABOUT GREYSTAR 

 Greystar is a leading, fully integrated global real estate platform offering expertise in property management, investment management, development, and construction services in institutional-quality rental housing. Headquartered in Charleston, South ...",2026-03-29 22:01:04
Solution Engineer,C3 AI,France,jooble,https://jooble.org/jdp/-2166004428835513906,"&nbsp;...least one of the leading cloud computing platforms (i.e., GCP, AWS, Azure)
 Understanding of SQL and NoSQL databases 
 Proficiency in <b>data </b>structure and algorithm design and implementation 
 Proficiency in time-series data analysis, cleansing, and normalization...&nbsp;",2026-03-29 22:01:04
Responsable Projets & Prescription Lille area,Cosentino,France,jooble,https://jooble.org/jdp/-7373753774643265096,"&nbsp;...communication across all parties to ensure successful sales implementation of programs including updating sales collateral, product technical <b>data </b>and information, samples, mockups and proposals. - Manages own sales budget and maintains discipline to stay within assigned sales...&nbsp;",2026-03-29 22:01:04
"Consultant or Project Leader, Principal Investors & Private Equity",Boston Consulting Group (BCG),France,jooble,https://jooble.org/jdp/6565485306984992913,"Who We Are 
 Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total...",2026-03-29 22:01:04
Account Director 4 (R),Insight,France,jooble,https://jooble.org/jdp/4531773299425680660,"&nbsp;...Contributor senior  , avec un fort  ownership business 
 Des comptes Retail à forts enjeux (transformation digitale, expérience client, <b>data,</b> sécurité)
 Une organisation claire et structurée 
 Un environnement orienté  solutions, valeur et résultats clients  . 
 COMPANY...&nbsp;",2026-03-29 22:01:04
Account Director Services,Insight,France,jooble,https://jooble.org/jdp/4845610119650687102," Insight, en tant qu'Intégrateur de solutions à forte valeur ajoutée, se positionne comme partenaire principal et comme 1er fournisseur mondial des plus grands acteurs de l'IT. 
~14 000 collaborateurs dans le monde dont 200 collaborateurs en France 
~8.7 milliard de $...",2026-03-29 22:01:04
Account Director 4 (M),Insight,France,jooble,https://jooble.org/jdp/144862469438635686," Insight, en tant qu'Intégrateur de solutions à forte valeur ajoutée, se positionne comme partenaire principal et comme 1er fournisseur mondial des plus grands acteurs de l'IT. 
~14 000 collaborateurs dans le monde dont 200 collaborateurs en France 
~8.7 milliard de $...",2026-03-29 22:01:04
Key Account Manager,CSL,France,jooble,https://jooble.org/jdp/1616493227097490198," Le/La Key Account Manager (KAM) a pour mission de négocier et de gérer les accords-cadres et partenariats stratégiques avec les groupements d’achats, les grossistes-répartiteurs et les établissements hospitaliers (publics et privés). Il/elle veille à maximiser la performance...",2026-03-29 22:01:04
"Data Scientists, IA Engineer, Pilote IA H/F",Soors,"St.-Denis, Île-de-France, France",linkedin,https://fr.linkedin.com/jobs/view/data-scientists-ia-engineer-pilote-ia-h-f-at-soors-4389263972?position=1&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=ZadBB9UE2fNBAYzF5Wex8w%3D%3D,,2026-03-29 22:01:04
Data Scientist - LLM,Gorgias,"Paris, Île-de-France, France",linkedin,https://fr.linkedin.com/jobs/view/data-scientist-llm-at-gorgias-4389266941?position=2&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=MIvK2DXgw%2BrFOhl1gx7Duw%3D%3D,,2026-03-29 22:01:04
